Questions,Answers
Where should a driver or operator stop their vehicle or streetcar when required to do so under the regulations?,"A driver or operator who is required to stop their vehicle or streetcar under the regulations should stop at a sign or marking on the highway indicating where a stop is to be made. If there is no such sign or marking, they should stop not less than five meters before the nearest portable lane control signal."
"Can anyone remove, deface, or otherwise interfere with a portable lane control signal system?","No, it is not permissible for any person to remove, deface, or otherwise interfere with a portable lane control signal system unless they have lawful authority to do so."
What is the purpose of an automated flagger assistance device?,"An automated flagger assistance device is used to control traffic in situations where construction or maintenance work reduces traffic to one lane on a two-lane highway. It provides automated control, reducing the need for constant manual operation."
"What is the definition of ""construction or maintenance work"" in relation to traffic control?","Construction or maintenance work refers to work carried out on a roadway or adjacent to a roadway, including work performed by a utility, public utility, transmitter, distributor, or other authorized entities involved in construction, maintenance, or emergency situations."
What is the purpose of a regulatory sign?,The purpose of a regulatory sign is to provide specific instructions or regulations that road users must follow. These signs are typically rectangular with black wording or symbols on a white background.
What is the purpose of a warning sign?,The purpose of a warning sign is to alert road users to potential hazards or conditions ahead. These signs are typically diamond-shaped with black symbols or words on a yellow background.
What is the purpose of a guide sign?,"The purpose of a guide sign is to provide information about destinations, routes, and services for road users. These signs are typically rectangular or square with white wording or symbols on a green or blue background."
What is the purpose of a temporary condition sign?,"The purpose of a temporary condition sign is to provide information about temporary conditions or hazards on the road, such as construction zones or detours. These signs are typically rectangular with black wording or symbols on an orange background."
What is the purpose of a school zone sign?,The purpose of a school zone sign is to indicate the presence of a school zone and to alert drivers to reduce their speed and exercise caution. These signs are typically rectangular with black wording or symbols on a fluorescent yellow-green background.
What is the purpose of a stop sign?,The purpose of a stop sign is to indicate that drivers must come to a complete stop at the marked line or before entering the intersection. These signs are typically octagonal with white wording on a red background.
What is the purpose of a yield sign?,The purpose of a yield sign is to indicate that drivers must yield the right-of-way to other vehicles or pedestrians at the intersection. These signs are typically triangular with white wording on a red background.
What is the purpose of a no entry sign?,"The purpose of a no entry sign is to indicate that entry into a specific road or area is prohibited. These signs are typically circular with a red border and a white background, with a red circle and a white horizontal bar inside."
What is the purpose of a one-way sign?,The purpose of a one-way sign is to indicate that traffic is allowed to flow in only one direction on a particular road or lane. These signs are typically rectangular with white wording or symbols on a black background.
What is the purpose of a speed limit sign?,"The purpose of a speed limit sign is to indicate the maximum or minimum speed at which vehicles should travel on a particular road. These signs are typically rectangular with black wording on a white background, displaying the speed limit in kilometers per hour."
What is the purpose of a no parking sign?,The purpose of a no parking sign is to indicate that parking is prohibited in the designated area. These signs are typically rectangular with red wording or symbols on a white background.
What is the purpose of a no stopping sign?,"The purpose of a no stopping sign is to indicate that vehicles are not allowed to stop, even temporarily, in the designated area. These signs are typically rectangular with red wording or symbols on a white background."
What is the purpose of a no U-turn sign?,"The purpose of a no U-turn sign is to indicate that making a U-turn is prohibited at the location. These signs are typically circular with a red border and a white background, with a red circle and a white horizontal bar inside."
What is the purpose of a no right turn sign?,"The purpose of a no right turn sign is to indicate that making a right turn is prohibited at the location. These signs are typically rectangular with a red circle and a white horizontal bar, indicating the prohibited action."
What is the purpose of a no left turn sign?,"The purpose of a no left turn sign is to indicate that making a left turn is prohibited at the location. These signs are typically rectangular with a red circle and a white horizontal bar, indicating the prohibited action."
What is the purpose of a do not enter sign?,"The purpose of a do not enter sign is to indicate that entry into a specific road or area is prohibited. These signs are typically rectangular with a white background and a red circle, with a white horizontal bar inside and the words ""DO NOT ENTER"" in red."
What is the purpose of a bicycle lane sign?,The purpose of a bicycle lane sign is to indicate the presence of a designated lane for bicycles. These signs are typically rectangular with a white symbol of a bicycle on a green background.
What is the purpose of a pedestrian crossing sign?,The purpose of a pedestrian crossing sign is to indicate the presence of a designated crossing area for pedestrians. These signs are typically rectangular with a black symbol of a pedestrian on a yellow background.
What is the purpose of a railway crossing sign?,The purpose of a railway crossing sign is to warn drivers that they are approaching a railway crossing. These signs are typically circular with a black symbol of a train on a yellow background.
What is the purpose of a hospital sign?,"The purpose of a hospital sign is to provide directional guidance to a nearby hospital or medical facility. These signs are typically rectangular with white wording on a blue background, featuring a symbol of a white H."
What is the purpose of a hotel sign?,"The purpose of a hotel sign is to provide directional guidance to a nearby hotel or lodging facility. These signs are typically rectangular with white wording on a blue background, featuring a symbol of a white bed."
What is the purpose of a gas station sign?,"The purpose of a gas station sign is to provide directional guidance to a nearby gas station or fueling facility. These signs are typically rectangular with white wording on a blue background, featuring a symbol of a white fuel pump."
What is the purpose of a restaurant sign?,"The purpose of a restaurant sign is to provide directional guidance to a nearby restaurant or eating establishment. These signs are typically rectangular with white wording on a blue background, featuring a symbol of a white knife and fork."
What is the purpose of a speed advisory sign?,"The purpose of a speed advisory sign is to provide recommended or advisory speed limits for specific road conditions, such as curves or intersections. These signs are typically rectangular with black wording on a yellow background."
What is the purpose of a construction sign?,The purpose of a construction sign is to inform drivers of ongoing construction activities or hazards ahead. These signs are typically rectangular with orange wording or symbols on a black background.
What is the purpose of a detour sign?,"The purpose of a detour sign is to guide drivers along an alternative route due to a road closure or construction. These signs are typically rectangular with black wording or symbols on an orange background, indicating the detour route."
What should a driver or streetcar operator do when approaching an automated flagger assistance device showing a circular green indication?,A driver or streetcar operator approaching an automated flagger assistance device showing a circular green indication and facing the indication may proceed.
What should a driver or streetcar operator do when approaching an automated flagger assistance device showing a circular amber indication?,"A driver or streetcar operator approaching an automated flagger assistance device showing a circular amber indication and facing the indication should stop their vehicle or streetcar, if it can be done safely. If stopping is not safe or practical, they may proceed with caution."
What should a driver or streetcar operator do when approaching an automated flagger assistance device showing a circular red indication?,A driver or streetcar operator approaching an automated flagger assistance device showing a circular red indication and facing the indication must stop their vehicle or streetcar and should not proceed until a circular green indication is shown.
Where should a driver or operator stop their vehicle or streetcar when required to do so under the regulations related to automated flagger assistance devices?,"A driver or operator who is required to stop their vehicle or streetcar under the regulations related to automated flagger assistance devices should stop at a sign or marking on the highway indicating where a stop is to be made. If there is no such sign or marking, they should stop not less than five meters before the nearest automated flagger assistance device."
"Can anyone remove, deface, or otherwise interfere with an automated flagger assistance device?","No, it is not permissible for any person to remove, deface, or otherwise interfere with an automated flagger assistance device unless they have lawful authority to do so."
What is the penalty for disobeying the amber light at an automated flagger assistance device?,"Anyone who contravenes the regulations by disobeying the amber light at an automated flagger assistance device is guilty of an offense and, upon conviction, is liable to a fine of not less than $150 and not more than $500."
What is the penalty for disobeying the red light at an automated flagger assistance device?,"Anyone who contravenes the regulations by disobeying the red light at an automated flagger assistance device is guilty of an offense and, upon conviction, is liable to a fine of not less than $200 and not more than $1,000."
What should a driver or streetcar operator do when approaching a railway crossing?,"A driver or streetcar operator approaching a railway crossing should approach it with caution, slow down, look both ways, and be prepared to stop if necessary. They should obey any traffic control devices or signs at the crossing and ensure there is sufficient clearance to cross safely before proceeding."
When must a driver or streetcar operator stop at a railway crossing?,"A driver or streetcar operator must stop at a railway crossing when a clearly visible signal is given by a flagman or a railway employee, a stop sign is erected at the crossing, or a gate or barrier is lowered or being lowered at the crossing."
What should a driver or streetcar operator do if their vehicle stalls on a railway crossing?,"If a driver or streetcar operator's vehicle stalls on a railway crossing, they should immediately leave the vehicle and move a safe distance away from the tracks. They should then notify the appropriate authorities and follow their instructions."
Can a driver or streetcar operator pass another vehicle within 30 meters of a railway crossing?,"No, a driver or streetcar operator must not pass another vehicle within 30 meters of a railway crossing, as this distance is considered unsafe. They should exercise caution and ensure there is sufficient distance between their vehicle and the railway crossing."
What is the penalty for disobeying the rules at a railway crossing?,"Anyone who contravenes the rules at a railway crossing is guilty of an offense and, upon conviction, is liable to a fine of not less than $200 and not more than $1,000."
What should a driver or streetcar operator do when approaching an intersection with a traffic control signal?,"A driver or streetcar operator approaching an intersection with a traffic control signal should obey the signal by stopping at a solid red light, proceeding with caution at a circular amber light, and proceeding when safe to do so at a circular green light or green arrow."
What should a driver or streetcar operator do when facing a flashing circular red light at an intersection?,"A driver or streetcar operator facing a flashing circular red light at an intersection should stop their vehicle or streetcar, yield the right-of-way to other vehicles or pedestrians as required, and proceed only when it is safe to do so. The flashing circular red light is similar to a stop sign, indicating that the driver or operator must come to a complete stop."
What should a driver do if they are traveling at a slower speed than the normal traffic?,"If a vehicle is traveling at a slower speed than the normal traffic on a roadway, the driver should, where possible, drive in the right-hand lane available for traffic or as close as possible to the right-hand curb or edge of the roadway."
Are there any exceptions to the requirement of driving in the right-hand lane when traveling at a slower speed?,"Yes, there are exceptions to the requirement. The driver of a vehicle is not required to drive in the right-hand lane when overtaking and passing another vehicle in the same direction, preparing for a left turn at an intersection or into a private road or driveway, operating a road service vehicle, or riding a bicycle in a designated lane for travel in the opposite direction of traffic."
What is the penalty for contravening the requirement of driving in the right-hand lane when traveling at a slower speed?,"If a person, while driving a motor vehicle, contravenes the requirement of driving in the right-hand lane when traveling at a slower speed, they are guilty of an offense and can be fined between $150 and $1,000."
"When meeting another vehicle on a highway, what should the person in charge of a vehicle do?","The person in charge of a vehicle on a highway, when meeting another vehicle, should turn out to the right from the center of the roadway, allowing the other vehicle one-half of the roadway free."
What should a person in charge of a vehicle or on horseback do if they are overtaken by a vehicle or equestrian traveling at a greater speed?,"If a person in charge of a vehicle or on horseback on a highway is overtaken by a vehicle or equestrian traveling at a greater speed, they should turn out to the right and allow the overtaking vehicle or equestrian to pass."
What is the penalty for contravening the requirement of turning out to the right when overtaken by a vehicle or equestrian?,"If a person, while driving a motor vehicle, contravenes the requirement of turning out to the right when overtaken by a vehicle or equestrian, they are guilty of an offense and can be fined between $150 and $1,000."
Are there any exceptions to the requirements of turning out to the right when meeting or overtaking vehicles?,"Yes, the requirements of turning out to the right when meeting or overtaking vehicles do not apply to a person in charge of a road service vehicle or a road-building machine or apparatus while engaged in the construction of a highway."
What should a person in charge of a vehicle do when meeting a person traveling on a bicycle?,"A person in charge of a vehicle on a highway, when meeting a person traveling on a bicycle, should allow the cyclist sufficient room on the roadway to pass."
What should a person in charge of a vehicle or on horseback do when overtaking another vehicle or equestrian on a highway?,"A person in charge of a vehicle or on horseback on a highway, when overtaking another vehicle or equestrian, should turn out to the left as necessary to avoid a collision, while ensuring that the person being overtaken is not required to leave more than one-half of the roadway free."
What should a person on a bicycle or motor assisted bicycle do if they are overtaken by a vehicle or equestrian traveling at a greater speed?,"A person on a bicycle or motor-assisted bicycle who is overtaken by a vehicle or equestrian traveling at a greater speed should turn out to the right and allow the vehicle or equestrian to pass, while the vehicle or equestrian overtaking should turn out to the left as necessary to avoid a collision."
What is the required distance a motor vehicle should maintain when overtaking a bicycle?,"A person in charge of a motor vehicle on a highway who is overtaking a person traveling on a bicycle should, as nearly as practicable, leave a distance of not less than one meter between the bicycle and the motor vehicle and maintain that distance until safely past the bicycle."
How is the one-meter distance measured between the motor vehicle and the bicycle?,"The one-meter distance required between the motor vehicle and the bicycle, as mentioned in the previous answer, refers to the distance between the extreme right side of the motor vehicle and the extreme left side of the bicycle, including all projections and attachments."
What should a driver do if they are unable to turn out when met or overtaken by another vehicle?,"If a driver finds it impracticable to turn out when met or overtaken by another vehicle due to the weight of the load on either vehicle, they should immediately stop and, if necessary for the safety of the other vehicle, assist the person in charge of that vehicle to pass without damage."
Can a driver pass another vehicle going in the same direction on a highway?,"Yes, a driver can pass another vehicle going in the same direction on a highway, provided certain conditions are met. The roadway in front of and to the left of the vehicle being passed should be safely free from approaching traffic, and the roadway to the left of the passing vehicle should be safely free from overtaking traffic."
Are there any exceptions to the prohibition of driving to the left of the center of a roadway?,"Yes, there are exceptions to the prohibition. It does not apply on a highway divided into clearly marked lanes with more lanes for traffic in one direction than the other, to a road service vehicle with precautions taken to eliminate the hazard, or on a highway designated for the use of one-way traffic."
When is it prohibited to drive to the left of the center of a roadway?,"It is prohibited to drive to the left of the center of a roadway designed for one or more lanes of traffic in each direction when approaching the crest of a grade or upon a curve in the roadway or within 30 meters of a bridge, viaduct, tunnel where the driver's view is obstructed, or within 30 meters of a level railway crossing."
What is the penalty for contravening the prohibition of driving to the left of the center of a roadway?,"If a vehicle driver contravenes the prohibition of driving to the left of the center of a roadway, they are guilty of an offense and can be fined between $150 and $1,000."
When can a driver overtake and pass to the right of another vehicle?,"The driver of a motor vehicle may overtake and pass to the right of another vehicle only when it can be done safely and under certain when the vehicle being overtaken is making or about to make a left turn or has signaled their intention to make a left turn, on a highway with unobstructed pavement wide enough for two or more lines of vehicles in each direction, or on a highway designated for one-way traffic."
Is it permissible to overtake and pass another vehicle by driving off the roadway?,"No, it is not permissible to overtake and pass another vehicle by driving off the roadway."
Are there any exceptions to the prohibition of overtaking and passing another vehicle by driving off the roadway?,"Yes, there are exceptions. Subsection (2) does not apply to a motor vehicle overtaking and passing to the right of another vehicle when the shoulder to the right of the roadway is paved and the vehicle being overtaken is making or about to make a left turn or has signaled their intention to make a left turn. Exceptions also apply to certain vehicles, such as ambulances, fire department vehicles, police department vehicles, tow trucks responding to a police request, road service vehicles, and motor vehicles overtaking a road service vehicle or road-building machine with proper direction from an authorized person involved in highway maintenance operations."
Are there any additional regulations concerning the use of paved shoulders on highways?,The passage does not mention any additional regulations concerning the use of paved shoulders on highways.
What is the penalty for overtaking and passing another vehicle by driving off the roadway?,The passage does not specify the penalty for overtaking and passing another vehicle by driving off the roadway.
Can a driver overtake and pass to the right of another vehicle on a highway with multiple lanes?,"Yes, a driver can overtake and pass to the right of another vehicle on a highway with unobstructed pavement wide enough for two or more lines of vehicles in each direction."
Can a driver overtake and pass to the right of another vehicle on a highway designated for one-way traffic?,"Yes, a driver can overtake and pass to the right of another vehicle on a highway designated for the use of one-way traffic."
Can a driver overtake and pass to the right of another vehicle if the vehicle being overtaken is making a left turn or has signaled their intention to make a left turn?,"Yes, a driver can overtake and pass to the right of another vehicle if the vehicle being overtaken is making or about to make a left turn or if its driver has signaled their intention to make a left turn."
Is it permissible for a driver to overtake and pass another vehicle by driving off the roadway if the shoulder is paved?,"Yes, a driver can overtake and pass to the right of another vehicle by driving off the roadway if the shoulder to the right of the roadway is paved and the vehicle being overtaken is making or about to make a left turn or has signaled their intention to make a left turn."
Are there any exceptions to the prohibition of overtaking and passing another vehicle by driving off the roadway?,"Yes, there are exceptions. The passage mentions exceptions for certain vehicles, such as ambulances, fire department vehicles, police department vehicles, tow trucks responding to a police request, road service vehicles, and motor vehicles overtaking a road service vehicle or road-building machine with proper direction from an authorized person involved in highway maintenance operations."
Can a driver overtake and pass another vehicle going in the same direction on a highway?,"Yes, a driver can pass another vehicle going in the same direction on a highway, provided that the roadway in front of and to the left of the vehicle being passed is safely free from approaching traffic, and the roadway to the left of the passing vehicle is safely free from overtaking traffic."
What are the conditions under which a vehicle cannot be driven or operated to the left of the center of a roadway?,"A vehicle cannot be driven or operated to the left of the center of a roadway designed for one or more lanes of traffic in each direction when approaching the crest of a grade or upon a curve in the roadway or within 30 meters of a bridge, viaduct, tunnel where the driver's view is obstructed, or within 30 meters of a level railway crossing."
Are there any exceptions to driving to the left of the center of a roadway under certain conditions?,"Yes, there are exceptions. The passage mentions exceptions for highways divided into clearly marked lanes with more lanes for traffic in one direction than the other, road service vehicles where precautions are taken to eliminate the hazard, and highways designated for the use of one-way traffic."
What is the penalty for contravening the prohibition of driving to the left of the center of a roadway under certain conditions?,The passage does not specify the penalty for contravening the prohibition of driving to the left of the center of a roadway under certain conditions.
Can a driver overtake and pass to the right of another vehicle when the vehicle being overtaken is making or about to make a left turn?,"Yes, a driver can overtake and pass to the right of another vehicle when the vehicle being overtaken is making or about to make a left turn or if its driver has signaled their intention to make a left turn."
Is it permissible for a driver to overtake and pass another vehicle by driving off the roadway?,"No, a driver of a motor vehicle cannot overtake and pass another vehicle by driving off the roadway."
Are there any exceptions to the prohibition of overtaking and passing another vehicle by driving off the roadway?,"Yes, there are exceptions. The passage mentions exceptions for certain vehicles, such as a motor vehicle overtaking and passing to the right of another vehicle when the shoulder to the right of the roadway is paved and the vehicle being overtaken is making or about to make a left turn or has signaled their intention to make a left turn. Exceptions also apply to ambulances, fire department vehicles, police department vehicles, tow trucks responding to a police request, road service vehicles, and motor vehicles overtaking a road service vehicle or road-building machine with proper direction from an authorized person involved in highway maintenance operations."
What vehicles are exempt from the prohibition of overtaking and passing another vehicle by driving off the roadway?,"The passage mentions exemptions for vehicles such as ambulances, fire department vehicles, police department vehicles, tow trucks responding to a police request, road service vehicles, and motor vehicles overtaking a road service vehicle or road-building machine with proper direction from an authorized person involved in highway maintenance operations."
What is the penalty for contravening the prohibition of overtaking and passing another vehicle by driving off the roadway?,The passage does not specify the penalty for contravening the prohibition of overtaking and passing another vehicle by driving off the roadway.
What should a driver do if they find it impracticable to turn out when met or overtaken by another vehicle?,"If a driver finds it impracticable to turn out when met or overtaken by another vehicle due to the weight of the load on either vehicle, they should immediately stop. If necessary for the safety of the other vehicle and if required to do so, they should assist the person in charge of the other vehicle to pass without damage."
Is it permissible for a driver to pass or attempt to pass another vehicle going in the same direction on a highway?,"No, a driver is not allowed to pass or attempt to pass another vehicle going in the same direction on a highway unless specific conditions are met. The roadway in front of and to the left of the vehicle to be passed must be safely free from approaching traffic, and the roadway to the left of the passing vehicle must be safely free from overtaking traffic."
Are there any exceptions to passing or attempting to pass another vehicle going in the same direction on a highway?,The passage does not mention any exceptions to passing or attempting to pass another vehicle going in the same direction on a highway.
What is the penalty for contravening the prohibition of passing or attempting to pass another vehicle going in the same direction on a highway?,The passage does not specify the penalty for contravening the prohibition of passing or attempting to pass another vehicle going in the same direction on a highway.
Can a driver overtake and pass another vehicle on the right when the vehicle being overtaken is making or about to make a left turn?,"Yes, a driver can overtake and pass another vehicle on the right when the vehicle being overtaken is making or about to make a left turn or if its driver has signaled their intention to make a left turn."
Can a driver overtake and pass another vehicle on the right when the vehicle being overtaken has signaled their intention to make a left turn?,"Yes, a driver can overtake and pass another vehicle on the right when the vehicle being overtaken has signaled their intention to make a left turn."
Can a driver overtake and pass another vehicle on the right when the vehicle being overtaken is preparing to turn left at an intersection or into a private road or driveway?,"Yes, a driver can overtake and pass another vehicle on the right when the vehicle being overtaken is preparing to turn left at an intersection or into a private road or driveway."
Can a driver overtake and pass another vehicle on the right within an intersection?,"No, a driver cannot overtake and pass another vehicle on the right within an intersection."
Can a driver overtake and pass another vehicle on the right if the vehicle being overtaken is making a right turn?,"Yes, a driver can overtake and pass another vehicle on the right if the vehicle being overtaken is making a right turn."
"Can a driver overtake and pass another vehicle on the right if the vehicle being overtaken is stopped, parked, or leaving parked position?","Yes, a driver can overtake and pass another vehicle on the right if the vehicle being overtaken is stopped, parked, or leaving a parked position."
Can a driver overtake and pass another vehicle on the right if the vehicle being overtaken is a bicycle or a moped?,"Yes, a driver can overtake and pass another vehicle on the right if the vehicle being overtaken is a bicycle or a moped."
Can a driver overtake and pass another vehicle on the right if the vehicle being overtaken is a streetcar or a tram?,"Yes, a driver can overtake and pass another vehicle on the right if the vehicle being overtaken is a streetcar or a tram."
Can a driver overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is part of a funeral procession?,"Yes, a driver can overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is part of a funeral procession."
Can a driver overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a mail vehicle and is engaged in the delivery of mail?,"Yes, a driver can overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a mail vehicle and is engaged in the delivery of mail."
Can a driver overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has stopped for the purpose of receiving or discharging passengers?,"No, a driver cannot overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has stopped for the purpose of receiving or discharging passengers."
Can a driver overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing?,"No, a driver cannot overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing."
Can a driver overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its stop arm extended?,"No, a driver cannot overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its stop arm extended."
Can a driver overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing and stop arm extended?,"No, a driver cannot overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing and stop arm extended."
"Can a driver overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and children are boarding or alighting from the bus?","No, a driver cannot overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and children are boarding or alighting from the bus."
"Can a driver overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and the driver of the vehicle being overtaken has received a hand signal from the bus driver indicating that the driver may pass?","Yes, a driver can overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and the driver of the vehicle being overtaken has received a hand signal from the bus driver indicating that the driver may pass."
"Can a driver overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and the driver of the vehicle being overtaken has received a hand signal from a police officer indicating that the driver may pass?","Yes, a driver can overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and the driver of the vehicle being overtaken has received a hand signal from a police officer indicating that the driver may pass."
"Can a driver overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and the driver of the vehicle being overtaken has received a hand signal from a flagperson indicating that the driver may pass?","Yes, a driver can overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and the driver of the vehicle being overtaken has received a hand signal from a flagperson indicating that the driver may pass."
"Can a driver overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and the driver of the vehicle being overtaken has received a hand signal from a construction worker indicating that the driver may pass?","Yes, a driver can overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and the driver of the vehicle being overtaken has received a hand signal from a construction worker indicating that the driver may pass."
"Can a driver overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and the driver of the vehicle being overtaken has received a hand signal from a crossing guard indicating that the driver may pass?","Yes, a driver can overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and the driver of the vehicle being overtaken has received a hand signal from a crossing guard indicating that the driver may pass."
"Can a driver overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and the driver of the vehicle being overtaken has received a hand signal from a peace officer indicating that the driver may pass?","Yes, a driver can overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and the driver of the vehicle being overtaken has received a hand signal from a peace officer indicating that the driver may pass."
"Can a driver overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and the driver of the vehicle being overtaken has received a hand signal from a firefighter indicating that the driver may pass?","Yes, a driver can overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and the driver of the vehicle being overtaken has received a hand signal from a firefighter indicating that the driver may pass."
"Can a driver overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and the driver of the vehicle being overtaken has received a hand signal from a road service vehicle operator indicating that the driver may pass?","Yes, a driver can overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and the driver of the vehicle being overtaken has received a hand signal from a road service vehicle operator indicating that the driver may pass."
"Can a driver overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and the driver of the vehicle being overtaken has received a hand signal from a flagperson employed by the highway authority indicating that the driver may pass?","Yes, a driver can overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and the driver of the vehicle being overtaken has received a hand signal from a flagperson employed by the highway authority indicating that the driver may pass."
"Can a driver overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and the driver of the vehicle being overtaken has received a hand signal from a person authorized by a peace officer to direct traffic indicating that the driver may pass?","Yes, a driver can overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and the driver of the vehicle being overtaken has received a hand signal from a person authorized by a peace officer to direct traffic indicating that the driver may pass."
"Can a driver overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and the driver of the vehicle being overtaken has received a hand signal from a person authorized by the highway authority to direct traffic indicating that the driver may pass?","Yes, a driver can overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and the driver of the vehicle being overtaken has received a hand signal from a person authorized by the highway authority to direct traffic indicating that the driver may pass."
"Can a driver overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and the driver of the vehicle being overtaken has received a hand signal from a person authorized by a traffic control signal indicating that the driver may pass?","Yes, a driver can overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and the driver of the vehicle being overtaken has received a hand signal from a person authorized by a traffic control signal indicating that the driver may pass."
"Can a driver overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and the driver of the vehicle being overtaken has received a hand signal from a person authorized by the highway authority and responsible for construction work or maintenance of the highway indicating that the driver may pass?","Yes, a driver can overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and the driver of the vehicle being overtaken has received a hand signal from a person authorized by the highway authority and responsible for construction work or maintenance of the highway indicating that the driver may pass."
"Can a driver overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and the driver of the vehicle being overtaken has received a hand signal from a person authorized by a peace officer to direct traffic, who is also employed by a school board, indicating that the driver may pass?","Yes, a driver can overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and has its red lights flashing, stop arm extended, and the driver of the vehicle being overtaken has received a hand signal from a person authorized by a peace officer to direct traffic, who is also employed by a school board, indicating that the driver may pass."
"Can a driver overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus, but the red lights are not flashing and the stop arm is not extended?","Yes, a driver can overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus, but the red lights are not flashing and the stop arm is not extended."
Can a driver overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and is traveling below the posted speed limit?,"Yes, a driver can overtake and pass another vehicle on the right if the vehicle being overtaken is a motor vehicle that is properly identified as a school bus and is traveling below the posted speed limit."
